dataid,success,I_c,phi_0,f,T,r,C,r_squared,adj_r_squared,rmse,mae
386Ic,True,4.0675572439e-06,-1.439831327902779,127761.36889545905,0.4346744137304134,-0.0040195780571799,2.58762944871e-05,0.9655749262985353,0.964033505088022,6.325550151033859e-07,4.7943169880866e-07
381Ic,True,4.4381033808e-06,1.9969120798022053,126358.52587739618,0.3188062735611382,0.0018248086667517,2.95021038919e-05,0.959215212653722,0.9573890281456798,7.103174496757258e-07,5.507841531335875e-07
418Ic,True,3.9703948376e-06,-0.8982801982970109,125183.00799512355,0.3909202602108235,-0.0293039595854319,2.56385733741e-05,0.9489630759660446,0.9466778405615393,7.3673051172177e-07,5.926652286299113e-07
397Ic,True,2.4981457439e-06,-1.2217636468411848,125765.95659899116,0.7404808654635324,0.0008084794112677,1.60719001368e-05,0.9570710249467662,0.9551488320339347,5.057394510805819e-07,3.70975343395859e-07
394Ic,True,2.6784809804e-06,-0.8891055287801861,121416.29600458128,0.6312794164121348,-0.0096875227503422,1.55220636222e-05,0.9636117787486648,0.9619824554090528,4.583489754486834e-07,3.4268989364952354e-07
416Ic,True,2.6435808357e-06,-1.0730056167332735,127631.46337209664,0.6653056900635784,0.0062796175922461,1.64729063587e-05,0.9648026433005572,0.9632266422543134,4.6146344891830385e-07,3.490258578880954e-07
396Ic,True,3.723097219e-06,-1.949437552738336,124583.68625923284,0.6335237355163792,-0.0116406611850189,2.39181574278e-05,0.9678422164640076,0.9664023157086646,6.063356346929936e-07,4.6290523065872515e-07
407Ic,True,3.6236553986e-06,3.1170137808040628,127245.21979080905,0.6628803324155239,-0.033930888142816,2.77995423901e-05,0.94947870864211,0.9472165612678762,7.349355164033754e-07,5.550842342449418e-07
380Ic,True,2.6645634312e-06,0.1851877357993987,129108.30826018236,0.7980303415840017,0.0029199802983045,1.80496606803e-05,0.946490120004988,0.944094155229092,6.069538330607133e-07,4.778744962931603e-07
